pair_id,cell_id,run_id,train_seed,eval_seed,arm_id,arm_mode,family,success,final_distance,first_action_mse,total_reward,steps
22:1020,22:1020:mask,language-alpha2-seed-22,22,1020,mask,mask,reach_red_left,0,0.5020608305931091,0.03018440492451191,-19.9524002969265,40
22:1021,22:1021:mask,language-alpha2-seed-22,22,1021,mask,mask,reach_red_left,0,0.5020608305931091,0.03693493828177452,-19.896621376276016,40
22:1022,22:1022:mask,language-alpha2-seed-22,22,1022,mask,mask,reach_blue_right,0,0.20771896839141846,0.006764059420675039,-8.5150805413723,40
22:1023,22:1023:mask,language-alpha2-seed-22,22,1023,mask,mask,reach_blue_right,0,0.20771902799606323,0.011097113601863384,-8.457375317811966,40
22:1000,22:1000:shuffle,language-alpha2-seed-22,22,1000,shuffle,shuffle,reach_green_top,0,0.6118786931037903,0.15741044282913208,-24.104433625936508,40
22:1001,22:1001:shuffle,language-alpha2-seed-22,22,1001,shuffle,shuffle,reach_green_top,0,0.2311459481716156,0.0032458247151225805,-9.405196756124496,40
22:1002,22:1002:shuffle,language-alpha2-seed-22,22,1002,shuffle,shuffle,reach_red_left,1,0.00256452732719481,0.00016527199477422982,-0.12477383785881102,2
22:1003,22:1003:shuffle,language-alpha2-seed-22,22,1003,shuffle,shuffle,reach_red_left,0,0.5220153331756592,0.0339798703789711,-20.21163174510002,40
22:1004,22:1004:shuffle,language-alpha2-seed-22,22,1004,shuffle,shuffle,reach_blue_right,0,0.386745810508728,0.013668455183506012,-15.635555118322372,40
22:1005,22:1005:shuffle,language-alpha2-seed-22,22,1005,shuffle,shuffle,reach_blue_right,0,0.2969367802143097,0.014500601217150688,-12.015961050987244,40
22:1006,22:1006:shuffle,language-alpha2-seed-22,22,1006,shuffle,shuffle,reach_green_top,0,0.6118786334991455,0.17816215753555298,-24.187829345464706,40
22:1007,22:1007:shuffle,language-alpha2-seed-22,22,1007,shuffle,shuffle,reach_green_top,0,0.2311457097530365,0.02229403704404831,-9.302500143647194,40
22:1008,22:1008:shuffle,language-alpha2-seed-22,22,1008,shuffle,shuffle,reach_red_left,1,0.046025555580854416,0.0024229078553617,-0.14833086356520653,2
22:1009,22:1009:shuffle,language-alpha2-seed-22,22,1009,shuffle,shuffle,reach_red_left,0,0.5220153331756592,0.03383389115333557,-20.248046204447746,40
22:1010,22:1010:shuffle,language-alpha2-seed-22,22,1010,shuffle,shuffle,reach_blue_right,0,0.3867458403110504,0.016550857573747635,-15.589591085910797,40
22:1011,22:1011:shuffle,language-alpha2-seed-22,22,1011,shuffle,shuffle,reach_blue_right,0,0.29693666100502014,0.012848271057009697,-11.987542390823364,40
22:1012,22:1012:shuffle,language-alpha2-seed-22,22,1012,shuffle,shuffle,reach_green_top,0,0.6118786334991455,0.18689244985580444,-24.1709186732769,40
22:1013,22:1013:shuffle,language-alpha2-seed-22,22,1013,shuffle,shuffle,reach_green_top,0,0.2311459481716156,0.004296931903809309,-9.392072975635529,40
22:1014,22:1014:shuffle,language-alpha2-seed-22,22,1014,shuffle,shuffle,reach_red_left,1,0.020836520940065384,0.000291661883238703,-0.15476027503609657,2
22:1015,22:1015:shuffle,language-alpha2-seed-22,22,1015,shuffle,shuffle,reach_red_left,0,0.5220153331756592,0.05130137503147125,-20.423257797956467,40
